,name,colors,manaValue,manaCost,power,toughness,loyalty,text,rarity,keywords,supertypes,types,subtypes
0,Ancestral Katana,W,2.0,{1}{W},,,,"Whenever a Samurai or Warrior you control attacks alone, you may pay {1}. When you do, attach Ancestral Katana to it.
Equipped creature gets +2/+1.
Equip {3} ({3}: Attach to target creature you control. Equip only as a sorcery.)",common,Equip,,Artifact,Equipment
1,"Ao, the Dawn Sky",W,5.0,{3}{W}{W},5.0,4.0,,"Flying, vigilance
When Ao, the Dawn Sky dies, choose one —
• Look at the top seven cards of your library. Put any number of nonland permanent cards with total mana value 4 or less from among them onto the battlefield. Put the rest on the bottom of your library in a random order.
• Put two +1/+1 counters on each permanent you control that's a creature or Vehicle.",mythic,"Flying, Vigilance",Legendary,Creature,"Dragon, Spirit"
2,Banishing Slash,W,2.0,{W}{W},,,,"Destroy up to one target artifact, enchantment, or tapped creature. Then if you control an artifact and an enchantment, create a 2/2 white Samurai creature token with vigilance.",uncommon,,,Sorcery,
3,Befriending the Moths,W,4.0,{3}{W},,,,"(As this Saga enters and after your draw step, add a lore counter.)
I, II — Target creature you control gets +1/+1 and gains flying until end of turn.
III — Exile this Saga, then return it to the battlefield transformed under your control.",common,"Flying, Transform",,Enchantment,Saga
4,Imperial Moth,W,4.0,,2.0,4.0,,Flying,common,Flying,,"Enchantment, Creature",Insect
5,Blade-Blizzard Kitsune,W,3.0,{2}{W},2.0,2.0,,"Ninjutsu {3}{W} ({3}{W}, Return an unblocked attacker you control to hand: Put this card onto the battlefield from your hand tapped and attacking.)
Double strike",uncommon,"Double strike, Ninjutsu",,Creature,"Fox, Ninja"
6,Born to Drive,W,3.0,{2}{W},,,,"Enchant artifact or creature
As long as enchanted permanent is a creature, it gets +1/+1 for each creature and/or Vehicle you control.
Channel — {2}{W}, Discard Born to Drive: Create two 1/1 colorless Pilot creature tokens with ""This creature crews Vehicles as though its power were 2 greater.""",uncommon,"Channel, Enchant",,Enchantment,Aura
7,Brilliant Restoration,W,7.0,{3}{W}{W}{W}{W},,,,Return all artifact and enchantment cards from your graveyard to the battlefield.,rare,,,Sorcery,
8,Cloudsteel Kirin,W,3.0,{2}{W},3.0,2.0,,"Flying
Equipped creature has flying and ""You can't lose the game and your opponents can't win the game.""
Reconfigure {5} ({5}: Attach to target creature you control; or unattach from a creature. Reconfigure only as a sorcery. While attached, this isn't a creature.)",rare,"Flying, Reconfigure",,"Artifact, Creature","Equipment, Kirin"
9,Dragonfly Suit,W,3.0,{2}{W},3.0,2.0,,"Flying
Crew 1 (Tap any number of creatures you control with total power 1 or more: This Vehicle becomes an artifact creature until end of turn.)",common,"Crew, Flying",,Artifact,Vehicle
10,Eiganjo Exemplar,W,2.0,{1}{W},2.0,1.0,,"Whenever a Samurai or Warrior you control attacks alone, it gets +1/+1 until end of turn.",common,,,"Enchantment, Creature","Human, Samurai"
11,Era of Enlightenment,W,2.0,{1}{W},,,,"(As this Saga enters and after your draw step, add a lore counter.)
I — Scry 2.
II — You gain 2 life.
III — Exile this Saga, then return it to the battlefield transformed under your control.",common,"Scry, Transform",,Enchantment,Saga
12,Hand of Enlightenment,W,2.0,,2.0,2.0,,First strike,common,First strike,,"Enchantment, Creature","Human, Monk"
13,The Fall of Lord Konda,W,3.0,{2}{W},,,,"(As this Saga enters and after your draw step, add a lore counter.)
I — Exile target creature an opponent controls with mana value 4 or greater.
II — Each player gains control of all permanents they own.
III — Exile this Saga, then return it to the battlefield transformed under your control.",uncommon,Transform,,Enchantment,Saga
14,Fragment of Konda,W,3.0,,1.0,3.0,,"Defender
When Fragment of Konda dies, draw a card.",uncommon,Defender,,"Enchantment, Creature","Human, Noble"
15,Farewell,W,6.0,{4}{W}{W},,,,"Choose one or more —
• Exile all artifacts.
• Exile all creatures.
• Exile all enchantments.
• Exile all graveyards.",rare,,,Sorcery,
16,Go-Shintai of Shared Purpose,W,4.0,{3}{W},1.0,3.0,,"Vigilance
At the beginning of your end step, you may pay {1}. If you do, create a 1/1 colorless Spirit creature token for each Shrine you control.",uncommon,Vigilance,Legendary,"Enchantment, Creature",Shrine
17,Golden-Tail Disciple,W,3.0,{2}{W},2.0,3.0,,Lifelink,common,Lifelink,,"Enchantment, Creature","Fox, Monk"
18,Hotshot Mechanic,W,1.0,{W},2.0,1.0,,Hotshot Mechanic crews Vehicles as though its power were 2 greater.,uncommon,,,"Artifact, Creature","Fox, Pilot"
19,Imperial Oath,W,6.0,{5}{W},,,,Create three 2/2 white Samurai creature tokens with vigilance. Scry 3.,common,Scry,,Sorcery,
20,Imperial Recovery Unit,W,3.0,{2}{W},3.0,4.0,,"Whenever Imperial Recovery Unit attacks, return target creature or Vehicle card with mana value 2 or less from your graveyard to your hand.
Crew 2 (Tap any number of creatures you control with total power 2 or more: This Vehicle becomes an artifact creature until end of turn.)",uncommon,Crew,,Artifact,Vehicle
21,Imperial Subduer,W,3.0,{2}{W},3.0,2.0,,"Whenever a Samurai or Warrior you control attacks alone, tap target creature you don't control.",common,,,Creature,"Human, Samurai"
22,Intercessor's Arrest,W,3.0,{2}{W},,,,"Enchant permanent
Enchanted permanent can't attack, block, or crew Vehicles. Its activated abilities can't be activated unless they're mana abilities.",common,Enchant,,Enchantment,Aura
23,Invoke Justice,W,5.0,{1}{W}{W}{W}{W},,,,"Return target permanent card from your graveyard to the battlefield, then distribute four +1/+1 counters among any number of creatures and/or Vehicles target player controls.",rare,,,Sorcery,
24,Kitsune Ace,W,2.0,{1}{W},2.0,2.0,,"Whenever a Vehicle you control attacks, choose one —
• That Vehicle gains first strike until end of turn.
• Untap Kitsune Ace.",common,,,Creature,"Fox, Pilot"
25,"Kyodai, Soul of Kamigawa",W,4.0,{3}{W},3.0,3.0,,"Flash
Flying
When Kyodai, Soul of Kamigawa enters the battlefield, another target permanent gains indestructible for as long as you control Kyodai.
{W}{U}{B}{R}{G}: Kyodai gets +5/+5 until end of turn.",rare,"Flash, Flying",Legendary,Creature,"Dragon, Spirit"
26,Light the Way,W,1.0,{W},,,,"Choose one —
• Put a +1/+1 counter on target creature or Vehicle. Untap it.
• Return target permanent you control to its owner's hand.",common,,,Instant,
27,"Light-Paws, Emperor's Voice",W,2.0,{1}{W},2.0,2.0,,"Whenever an Aura enters the battlefield under your control, if you cast it, you may search your library for an Aura card with mana value less than or equal to that Aura and with a different name than each Aura you control, put that card onto the battlefield attached to Light-Paws, Emperor's Voice, then shuffle.",rare,,Legendary,Creature,"Fox, Advisor"
28,Lion Sash,W,2.0,{1}{W},1.0,1.0,,"{W}: Exile target card from a graveyard. If it was a permanent card, put a +1/+1 counter on Lion Sash.
Equipped creature gets +1/+1 for each +1/+1 counter on Lion Sash.
Reconfigure {2} ({2}: Attach to target creature you control; or unattach from a creature. Reconfigure only as a sorcery. While attached, this isn't a creature.)",rare,Reconfigure,,"Artifact, Creature","Equipment, Cat"
29,Lucky Offering,W,1.0,{W},,,,Destroy target artifact with mana value 3 or less. You gain 3 life.,common,,,Sorcery,
30,Michiko's Reign of Truth,W,2.0,{1}{W},,,,"(As this Saga enters and after your draw step, add a lore counter.)
I, II — Target creature gets +1/+1 until end of turn for each artifact and/or enchantment you control.
III — Exile this Saga, then return it to the battlefield transformed under your control.",uncommon,Transform,,Enchantment,Saga
31,Portrait of Michiko,W,2.0,,0.0,0.0,,Portrait of Michiko gets +1/+1 for each artifact and/or enchantment you control.,uncommon,,,"Enchantment, Creature","Human, Noble"
32,Mothrider Patrol,W,1.0,{W},1.0,1.0,,"Flying
{3}{W}, {T}: Tap target creature.",common,Flying,,Creature,"Fox, Warrior"
33,"Norika Yamazaki, the Poet",W,3.0,{2}{W},3.0,2.0,,"Vigilance
Whenever a Samurai or Warrior you control attacks alone, you may cast target enchantment card from your graveyard this turn.",uncommon,Vigilance,Legendary,Creature,"Human, Samurai"
34,Regent's Authority,W,1.0,{W},,,,"Target creature gets +2/+2 until end of turn. If it's an enchantment creature or legendary creature, instead put a +1/+1 counter on it and it gets +1/+1 until end of turn.",common,,,Instant,
35,Repel the Vile,W,4.0,{3}{W},,,,"Choose one —
• Exile target creature with power 4 or greater.
• Exile target enchantment.",common,,,Instant,
36,The Restoration of Eiganjo,W,3.0,{2}{W},,,,"(As this Saga enters and after your draw step, add a lore counter.)
I — Search your library for a basic Plains card, reveal it, put it into your hand, then shuffle.
II — You may discard a card. When you do, return target permanent card with mana value 2 or less from your graveyard to the battlefield tapped.
III — Exile this Saga, then return it to the battlefield transformed under your control.",rare,Transform,,Enchantment,Saga
37,Architect of Restoration,W,3.0,,3.0,4.0,,"Vigilance
Whenever Architect of Restoration attacks or blocks, create a 1/1 colorless Spirit creature token.",rare,Vigilance,,"Enchantment, Creature","Fox, Monk"
38,Selfless Samurai,W,2.0,{1}{W},2.0,2.0,,"Whenever a Samurai or Warrior you control attacks alone, it gains lifelink until end of turn.
Sacrifice Selfless Samurai: Another target creature you control gains indestructible until end of turn. (Damage and effects that say ""destroy"" don't destroy it.)",uncommon,,,Creature,"Fox, Samurai"
39,Seven-Tail Mentor,W,4.0,{3}{W},2.0,3.0,,"When Seven-Tail Mentor enters the battlefield or dies, put a +1/+1 counter on target creature or Vehicle you control.",common,,,Creature,"Fox, Samurai"
40,Sky-Blessed Samurai,W,7.0,{6}{W},4.0,4.0,,"This spell costs {1} less to cast for each enchantment you control.
Flying",uncommon,Flying,,"Enchantment, Creature","Human, Samurai"
41,Spirited Companion,W,2.0,{1}{W},1.0,1.0,,"When Spirited Companion enters the battlefield, draw a card.",common,,,"Enchantment, Creature",Dog
42,Sunblade Samurai,W,5.0,{4}{W},4.0,4.0,,"Vigilance
Channel — {2}, Discard Sunblade Samurai: Search your library for a basic Plains card, reveal it, put it into your hand, then shuffle. You gain 2 life.",common,"Channel, Vigilance",,"Enchantment, Creature","Human, Samurai"
43,Touch the Spirit Realm,W,3.0,{2}{W},,,,"When Touch the Spirit Realm enters the battlefield, exile up to one target artifact or creature until Touch the Spirit Realm leaves the battlefield.
Channel — {1}{W}, Discard Touch the Spirit Realm: Exile target artifact or creature. Return it to the battlefield under its owner's control at the beginning of the next end step.",uncommon,Channel,,Enchantment,
44,Wanderer's Intervention,W,2.0,{1}{W},,,,Wanderer's Intervention deals 4 damage to target attacking or blocking creature.,common,,,Instant,
45,The Wandering Emperor,W,4.0,{2}{W}{W},,,3.0,"Flash
As long as The Wandering Emperor entered the battlefield this turn, you may activate her loyalty abilities any time you could cast an instant.
[+1]: Put a +1/+1 counter on up to one target creature. It gains first strike until end of turn.
[−1]: Create a 2/2 white Samurai creature token with vigilance.
[−2]: Exile target tapped creature. You gain 2 life.",mythic,Flash,Legendary,Planeswalker,
46,When We Were Young,W,4.0,{3}{W},,,,"Up to two target creatures each get +2/+2 until end of turn. If you control an artifact and an enchantment, those creatures also gain lifelink until end of turn.",uncommon,,,Instant,
47,Acquisition Octopus,U,3.0,{2}{U},2.0,2.0,,"Whenever Acquisition Octopus or equipped creature deals combat damage to a player, draw a card.
Reconfigure {2} ({2}: Attach to target creature you control; or unattach from a creature. Reconfigure only as a sorcery. While attached, this isn't a creature.)",uncommon,Reconfigure,,"Artifact, Creature","Equipment, Octopus"
48,Anchor to Reality,U,4.0,{2}{U}{U},,,,"As an additional cost to cast this spell, sacrifice an artifact or creature.
Search your library for an Equipment or Vehicle card, put that card onto the battlefield, then shuffle. If it has mana value less than the sacrificed permanent's mana value, scry 2.",uncommon,Scry,,Sorcery,
49,Armguard Familiar,U,2.0,{1}{U},2.0,1.0,,"Ward {2} (Whenever this creature becomes the target of a spell or ability an opponent controls, counter it unless that player pays {2}.)
Equipped creature gets +2/+1 and has ward {2}.
Reconfigure {4} ({4}: Attach to target creature you control; or unattach from a creature. Reconfigure only as a sorcery. While attached, this isn't a creature.)",common,"Reconfigure, Ward",,"Artifact, Creature","Equipment, Beast"
50,Behold the Unspeakable,U,5.0,{3}{U}{U},,,,"(As this Saga enters and after your draw step, add a lore counter.)
I — Creatures you don't control get -2/-0 until your next turn.
II — If you have one or fewer cards in hand, draw four cards. Otherwise, scry 2, then draw two cards.
III — Exile this Saga, then return it to the battlefield transformed under your control.",uncommon,"Scry, Transform",,Enchantment,Saga
51,Vision of the Unspeakable,U,5.0,,0.0,0.0,,"Flying, trample
Vision of the Unspeakable gets +1/+1 for each card in your hand.",uncommon,"Flying, Trample",,"Enchantment, Creature",Spirit
52,Covert Technician,U,3.0,{2}{U},2.0,4.0,,"Ninjutsu {1}{U} ({1}{U}, Return an unblocked attacker you control to hand: Put this card onto the battlefield from your hand tapped and attacking.)
Whenever Covert Technician deals combat damage to a player, you may put an artifact card with mana value less than or equal to that damage from your hand onto the battlefield.",uncommon,Ninjutsu,,"Artifact, Creature","Human, Ninja"
53,Discover the Impossible,U,3.0,{2}{U},,,,"Look at the top five cards of your library. Exile one of them face down and put the rest on the bottom of your library in a random order. You may cast the exiled card without paying its mana cost if it's an instant spell with mana value 2 or less. If you don't, put that card into your hand.",uncommon,,,Instant,
54,Disruption Protocol,U,2.0,{U}{U},,,,"As an additional cost to cast this spell, tap an untapped artifact you control or pay {1}.
Counter target spell.",common,,,Instant,
55,Essence Capture,U,2.0,{U}{U},,,,Counter target creature spell. Put a +1/+1 counter on up to one target creature you control.,uncommon,,,Instant,
56,Futurist Operative,U,4.0,{3}{U},3.0,4.0,,"As long as Futurist Operative is tapped, it's a Human Citizen with base power and toughness 1/1 and can't be blocked.
{2}{U}: Untap Futurist Operative.",uncommon,,,Creature,"Human, Ninja"
57,Futurist Sentinel,U,4.0,{3}{U},6.0,6.0,,Crew 3 (Tap any number of creatures you control with total power 3 or more: This Vehicle becomes an artifact creature until end of turn.),common,Crew,,Artifact,Vehicle
58,Go-Shintai of Lost Wisdom,U,2.0,{1}{U},0.0,4.0,,"Flying
At the beginning of your end step, you may pay {1}. When you do, target player mills X cards, where X is the number of Shrines you control. (To mill a card, a player puts the top card of their library into their graveyard.)",uncommon,"Flying, Mill",Legendary,"Enchantment, Creature",Shrine
59,Guardians of Oboro,U,3.0,{2}{U},3.0,4.0,,"Defender
Modified creatures you control can attack as though they didn't have defender. (Equipment, Auras you control, and counters are modifications.)",common,Defender,,Creature,"Moonfolk, Samurai"
60,Inventive Iteration,U,4.0,{3}{U},,,,"(As this Saga enters and after your draw step, add a lore counter.)
I — Return up to one target creature or planeswalker to its owner's hand.
II — Return an artifact card from your graveyard to your hand. If you can't, draw a card.
III — Exile this Saga, then return it to the battlefield transformed under your control.",rare,Transform,,Enchantment,Saga
61,Living Breakthrough,U,4.0,,3.0,3.0,,"Flying
Whenever you cast a spell, your opponents can't cast spells with the same mana value as that spell until your next turn.",rare,Flying,,"Enchantment, Creature",Moonfolk
62,Invoke the Winds,U,5.0,{1}{U}{U}{U}{U},,,,Gain control of target artifact or creature. Untap it.,rare,,,Sorcery,
63,"Jin-Gitaxias, Progress Tyrant",U,7.0,{5}{U}{U},5.0,5.0,,"Whenever you cast an artifact, instant, or sorcery spell, copy that spell. You may choose new targets for the copy. This ability triggers only once each turn. (A copy of a permanent spell becomes a token.)
Whenever an opponent casts an artifact, instant, or sorcery spell, counter that spell. This ability triggers only once each turn.",mythic,,Legendary,Creature,"Phyrexian, Praetor"
64,"Kairi, the Swirling Sky",U,6.0,{4}{U}{U},6.0,6.0,,"Flying, ward {3}
When Kairi, the Swirling Sky dies, choose one —
• Return any number of target nonland permanents with total mana value 6 or less to their owners' hands.
• Mill six cards, then return up to two instant and/or sorcery cards from your graveyard to your hand.",mythic,"Flying, Mill, Ward",Legendary,Creature,"Dragon, Spirit"
65,Mindlink Mech,U,3.0,{2}{U},4.0,3.0,,"Flying
Whenever Mindlink Mech becomes crewed for the first time each turn, until end of turn, Mindlink Mech becomes a copy of target nonlegendary creature that crewed it this turn, except it's 4/3, it's a Vehicle artifact in addition to its other types, and it has flying.
Crew 1",rare,"Crew, Flying",,Artifact,Vehicle
66,Mirrorshell Crab,U,7.0,{5}{U}{U},5.0,7.0,,"Ward {3} (Whenever this creature becomes the target of a spell or ability an opponent controls, counter it unless that player pays {3}.)
Channel — {2}{U}, Discard Mirrorshell Crab: Counter target spell or ability unless its controller pays {3}.",common,"Channel, Ward",,"Artifact, Creature",Crab
67,Mnemonic Sphere,U,2.0,{1}{U},,,,"{1}{U}, Sacrifice Mnemonic Sphere: Draw two cards.
Channel — {U}, Discard Mnemonic Sphere: Draw a card.",common,Channel,,Artifact,
68,Mobilizer Mech,U,2.0,{1}{U},3.0,4.0,,"Flying
Whenever Mobilizer Mech becomes crewed, up to one other target Vehicle you control becomes an artifact creature until end of turn.
Crew 3 (Tap any number of creatures you control with total power 3 or more: This Vehicle becomes an artifact creature until end of turn.)",uncommon,"Crew, Flying",,Artifact,Vehicle
69,The Modern Age,U,2.0,{1}{U},,,,"(As this Saga enters and after your draw step, add a lore counter.)
I, II — Draw a card, then discard a card.
III — Exile this Saga, then return it to the battlefield transformed under your control.",common,Transform,,Enchantment,Saga
70,Vector Glider,U,2.0,,2.0,3.0,,Flying,common,Flying,,"Enchantment, Creature",Spirit
71,Moon-Circuit Hacker,U,2.0,{1}{U},2.0,1.0,,"Ninjutsu {U} ({U}, Return an unblocked attacker you control to hand: Put this card onto the battlefield from your hand tapped and attacking.)
Whenever Moon-Circuit Hacker deals combat damage to a player, you may draw a card. If you do, discard a card unless Moon-Circuit Hacker entered the battlefield this turn.",common,Ninjutsu,,"Enchantment, Creature","Human, Ninja"
72,Moonfolk Puzzlemaker,U,3.0,{2}{U},1.0,4.0,,"Flying
Whenever Moonfolk Puzzlemaker becomes tapped, scry 1.",common,"Flying, Scry",,"Artifact, Creature","Moonfolk, Wizard"
73,Moonsnare Prototype,U,1.0,{U},,,,"{T}, Tap an untapped artifact or creature you control: Add {C}.
Channel — {4}{U}, Discard Moonsnare Prototype: The owner of target nonland permanent puts it on the top or bottom of their library.",common,Channel,,Artifact,
74,Moonsnare Specialist,U,4.0,{3}{U},2.0,2.0,,"Ninjutsu {2}{U} ({2}{U}, Return an unblocked attacker you control to hand: Put this card onto the battlefield from your hand tapped and attacking.)
When Moonsnare Specialist enters the battlefield, return up to one target creature to its owner's hand.",common,Ninjutsu,,Creature,"Human, Ninja"
75,Network Disruptor,U,1.0,{U},1.0,1.0,,"Flying
When Network Disruptor enters the battlefield, tap target permanent.",common,Flying,,"Artifact, Creature","Moonfolk, Rogue"
76,Planar Incision,U,2.0,{1}{U},,,,"Exile target artifact or creature, then return it to the battlefield under its owner's control with a +1/+1 counter on it.",common,,,Instant,
77,Prosperous Thief,U,3.0,{2}{U},3.0,2.0,,"Ninjutsu {1}{U} ({1}{U}, Return an unblocked attacker you control to hand: Put this card onto the battlefield from your hand tapped and attacking.)
Whenever one or more Ninja or Rogue creatures you control deal combat damage to a player, create a Treasure token. (It's an artifact with ""{T}, Sacrifice this artifact: Add one mana of any color."")",uncommon,Ninjutsu,,Creature,"Human, Ninja"
78,The Reality Chip,U,2.0,{1}{U},0.0,4.0,,"You may look at the top card of your library any time.
As long as The Reality Chip is attached to a creature, you may play lands and cast spells from the top of your library.
Reconfigure {2}{U} ({2}{U}: Attach to target creature you control; or unattach from a creature. Reconfigure only as a sorcery. While attached, this isn't a creature.)",rare,Reconfigure,Legendary,"Artifact, Creature","Equipment, Jellyfish"
79,Reality Heist,U,7.0,{5}{U}{U},,,,"This spell costs {1} less to cast for each artifact you control.
Look at the top seven cards of your library. You may reveal up to two artifact cards from among them and put them into your hand. Put the rest on the bottom of your library in a random order.",uncommon,,,Instant,
80,Replication Specialist,U,5.0,{4}{U},3.0,4.0,,"Flying
Whenever a nontoken artifact enters the battlefield under your control, you may pay {1}{U}. If you do, create a token that's a copy of that artifact.",uncommon,Flying,,Creature,"Moonfolk, Artificer"
81,Saiba Trespassers,U,5.0,{4}{U},3.0,5.0,,"Channel — {3}{U}, Discard Saiba Trespassers: Tap up to two target creatures you don't control. Those creatures don't untap during their controller's next untap step.",common,Channel,,"Artifact, Creature","Moonfolk, Rogue"
82,Short Circuit,U,2.0,{1}{U},,,,"Flash
Enchant artifact or creature
As long as enchanted permanent is a creature, it gets -3/-0 and loses flying.",common,"Enchant, Flash",,Enchantment,Aura
83,Skyswimmer Koi,U,4.0,{3}{U},3.0,3.0,,"Flying
Whenever an artifact enters the battlefield under your control, you may draw a card. If you do, discard a card.",common,Flying,,Creature,Fish
84,Spell Pierce,U,1.0,{U},,,,Counter target noncreature spell unless its controller pays {2}.,common,,,Instant,
85,Suit Up,U,3.0,{2}{U},,,,"Until end of turn, target creature or Vehicle becomes an artifact creature with base power and toughness 4/5.
Draw a card.",common,,,Instant,
86,"Tameshi, Reality Architect",U,3.0,{2}{U},2.0,3.0,,"Whenever one or more noncreature permanents are returned to hand, draw a card. This ability triggers only once each turn.
{X}{W}, Return a land you control to its owner's hand: Return target artifact or enchantment card with mana value X or less from your graveyard to the battlefield. Activate only as a sorcery.",rare,,Legendary,Creature,"Moonfolk, Wizard"
87,Tamiyo's Compleation,U,4.0,{3}{U},,,,"Flash
Enchant artifact, creature, or planeswalker
When Tamiyo's Compleation enters the battlefield, tap enchanted permanent. If it's an Equipment, unattach it.
Enchanted permanent loses all abilities and doesn't untap during its controller's untap step.",common,"Enchant, Flash",,Enchantment,Aura
88,"Tezzeret, Betrayer of Flesh",U,4.0,{2}{U}{U},,,4.0,"The first activated ability of an artifact you activate each turn costs {2} less to activate.
[+1]: Draw two cards. Then discard two cards unless you discard an artifact card.
[−2]: Target artifact becomes an artifact creature. If it isn't a Vehicle, it has base power and toughness 4/4.
[−6]: You get an emblem with ""Whenever an artifact you control becomes tapped, draw a card.""",mythic,,Legendary,Planeswalker,Tezzeret
89,Thirst for Knowledge,U,3.0,{2}{U},,,,Draw three cards. Then discard two cards unless you discard an artifact card.,uncommon,,,Instant,
90,Thousand-Faced Shadow,U,1.0,{U},1.0,1.0,,"Ninjutsu {2}{U}{U} ({2}{U}{U}, Return an unblocked attacker you control to hand: Put this card onto the battlefield from your hand tapped and attacking.)
Flying
When Thousand-Faced Shadow enters the battlefield from your hand, if it's attacking, create a token that's a copy of another target attacking creature. The token enters the battlefield tapped and attacking.",rare,"Flying, Ninjutsu",,Creature,"Human, Ninja"
91,Assassin's Ink,B,4.0,{2}{B}{B},,,,"This spell costs {1} less to cast if you control an artifact and {1} less to cast if you control an enchantment.
Destroy target creature or planeswalker.",uncommon,,,Instant,
92,Biting-Palm Ninja,B,3.0,{2}{B},3.0,3.0,,"Ninjutsu {2}{B}
Biting-Palm Ninja enters the battlefield with a menace counter on it.
Whenever Biting-Palm Ninja deals combat damage to a player, you may remove a menace counter from it. When you do, that player reveals their hand and you choose a nonland card from it. Exile that card.",rare,Ninjutsu,,Creature,"Human, Ninja"
93,Blade of the Oni,B,2.0,{1}{B},3.0,1.0,,"Menace
Equipped creature has base power and toughness 5/5, has menace, and is a black Demon in addition to its other colors and types.
Reconfigure {2}{B}{B} ({2}{B}{B}: Attach to target creature you control; or unattach from a creature. Reconfigure only as a sorcery. While attached, this isn't a creature.)",mythic,"Menace, Reconfigure",,"Artifact, Creature","Equipment, Demon"
94,Chainflail Centipede,B,3.0,{2}{B},2.0,2.0,,"Whenever Chainflail Centipede or equipped creature attacks, it gets +2/+0 until end of turn.
Reconfigure {2} ({2}: Attach to target creature you control; or unattach from a creature. Reconfigure only as a sorcery. While attached, this isn't a creature.)",common,Reconfigure,,"Artifact, Creature","Equipment, Insect"
95,Clawing Torment,B,1.0,{B},,,,"Enchant artifact or creature
As long as enchanted permanent is a creature, it gets -1/-1 and can't block.
Enchanted permanent has ""At the beginning of your upkeep, you lose 1 life.""",common,Enchant,,Enchantment,Aura
96,Debt to the Kami,B,3.0,{2}{B},,,,"Choose one —
• Target opponent exiles a creature they control.
• Target opponent exiles an enchantment they control.",common,,,Instant,
97,Dockside Chef,B,1.0,{B},1.0,2.0,,"{1}{B}, Sacrifice an artifact or creature: Draw a card.",uncommon,,,"Enchantment, Creature","Human, Citizen"
98,Dokuchi Shadow-Walker,B,6.0,{4}{B}{B},5.0,5.0,,"Ninjutsu {3}{B} ({3}{B}, Return an unblocked attacker you control to hand: Put this card onto the battlefield from your hand tapped and attacking.)",common,Ninjutsu,,Creature,"Ogre, Ninja"
99,Dokuchi Silencer,B,2.0,{1}{B},2.0,1.0,,"Ninjutsu {1}{B} ({1}{B}, Return an unblocked attacker you control to hand: Put this card onto the battlefield from your hand tapped and attacking.)
Whenever Dokuchi Silencer deals combat damage to a player, you may discard a creature card. When you do, destroy target creature or planeswalker that player controls.",uncommon,Ninjutsu,,Creature,"Human, Ninja"
100,Enormous Energy Blade,B,3.0,{2}{B},,,,"Equipped creature gets +4/+0.
Whenever Enormous Energy Blade becomes attached to a creature, tap that creature.
Equip {2} ({2}: Attach to target creature you control. Equip only as a sorcery.)",uncommon,Equip,,Artifact,Equipment
